toco,fhr,fhr_nan,uc_nan,uc,baseline,acc,dec
21.5,161.25,161.25,21.5,21.5,162.9431654631044,0,0
21.0,161.75,161.75,21.0,21.0,162.9548868400048,0,0
21.0,163.5,163.5,21.0,21.0,162.96660821690523,0,0
20.5,163.5,163.5,20.5,20.5,162.97832959380563,0,0
20.5,164.0,164.0,20.5,20.5,162.99005097070602,0,0
20.0,164.5,164.5,20.0,20.0,163.00177234760642,0,0
20.0,164.5,164.5,20.0,20.0,163.01349372450684,0,0
20.0,164.5,164.5,20.0,20.0,163.02521510140724,0,0
20.0,164.5,164.5,20.0,20.0,163.03693647830764,0,0
20.0,164.5,164.5,20.0,20.0,163.04865785520803,0,0
20.0,164.25,164.25,20.0,20.0,163.06037923210843,0,0
20.0,164.25,164.25,20.0,20.0,163.07210060900886,0,0
20.0,164.5,164.5,20.0,20.0,163.08382198590925,0,0
20.0,164.5,164.5,20.0,20.0,163.09554336280965,0,0
20.0,166.0,166.0,20.0,20.0,163.10726473971005,0,0
20.0,166.0,166.0,20.0,20.0,163.11898611661044,0,0
20.0,164.75,164.75,20.0,20.0,163.13070749351087,0,0
20.0,164.75,164.75,20.0,20.0,163.14242887041127,0,0
20.0,164.25,164.25,20.0,20.0,163.15415024731166,0,0
20.0,164.25,164.25,20.0,20.0,163.16587162421206,0,0
20.0,162.5,162.5,20.0,20.0,163.17759300111248,0,0
20.0,159.25,159.25,20.0,20.0,163.18931437801288,0,0
20.0,159.25,159.25,20.0,20.0,163.20103575491328,0,0
20.0,163.5,163.5,20.0,20.0,163.21275713181367,0,0
20.0,163.75,163.75,20.0,20.0,163.22447850871407,0,0
20.0,163.75,163.75,20.0,20.0,163.2361998856145,0,0
20.0,163.75,163.75,20.0,20.0,163.2479212625149,0,0
20.0,163.75,163.75,20.0,20.0,163.2596426394153,0,0
20.0,163.75,163.75,20.0,20.0,163.2713640163157,0,0
20.0,163.75,163.75,20.0,20.0,163.28308539321608,0,0
20.0,163.75,163.75,20.0,20.0,163.2948067701165,0,0
21.0,162.75,162.75,21.0,21.0,163.3065281470169,0,0
21.5,162.75,162.75,21.5,21.5,163.3182495239173,0,0
37.0,162.75,162.75,37.0,37.0,163.3299709008177,0,0
30.0,162.75,162.75,30.0,30.0,163.34169227771812,0,0
28.5,162.75,162.75,28.5,28.5,163.35341365461852,0,0
28.5,162.75,162.75,28.5,28.5,163.36513503151892,0,0
28.5,162.75,162.75,28.5,28.5,163.37685640841931,0,0
29.0,163.0,163.0,29.0,29.0,163.3885777853197,0,0
29.5,163.00595238095238,,29.5,29.5,163.40029916222014,0,0
29.0,163.01190476190476,,29.0,29.0,163.41202053912053,0,0
28.0,163.01785714285714,,28.0,28.0,163.42374191602093,0,0
27.5,163.02380952380952,,27.5,27.5,163.43546329292133,0,0
27.0,163.0297619047619,,27.0,27.0,163.44718466982172,0,0
26.0,163.03571428571428,,26.0,26.0,163.45890604672215,0,0
25.0,163.04166666666666,,25.0,25.0,163.47062742362255,0,0
24.0,163.04761904761904,,24.0,24.0,163.48234880052294,0,0
23.5,163.05357142857142,,23.5,23.5,163.49407017742334,0,0
22.5,163.0595238095238,,22.5,22.5,163.50579155432376,0,0
22.0,163.0654761904762,,22.0,22.0,163.51751293122416,0,0
21.5,163.07142857142858,,21.5,21.5,163.52923430812456,0,0
21.5,163.07738095238096,,21.5,21.5,163.54095568502495,0,0
21.5,163.08333333333334,,21.5,21.5,163.55267706192535,0,0
21.5,163.08928571428572,,21.5,21.5,163.56439843882578,0,0
21.5,163.0952380952381,,21.5,21.5,163.57611981572617,0,0
21.5,163.10119047619048,,21.5,21.5,163.58784119262657,0,0
21.0,163.10714285714286,,21.0,21.0,163.59956256952697,0,0
21.0,163.11309523809524,,21.0,21.0,163.61128394642736,0,0
21.0,163.11904761904762,,21.0,21.0,163.6230053233278,0,0
21.0,163.125,,21.0,21.0,163.63472670022819,0,0
21.0,163.13095238095238,,21.0,21.0,163.64644807712858,0,0
21.0,163.13690476190476,,21.0,21.0,163.65816945402898,0,0
21.0,163.14285714285714,,21.0,21.0,163.6698908309294,0,0
21.0,163.14880952380952,,21.0,21.0,163.6816122078298,0,0
21.0,163.1547619047619,,21.0,21.0,163.6933335847302,0,0
21.0,163.16071428571428,,21.0,21.0,163.7050549616306,0,0
21.0,163.16666666666666,,21.0,21.0,163.716776338531,0,0
21.0,163.17261904761904,,21.0,21.0,163.72849771543142,0,0
21.0,163.17857142857142,,21.0,21.0,163.7402190923318,0,0
21.0,163.1845238095238,,21.0,21.0,163.7519404692322,0,0
21.0,163.1904761904762,,21.0,21.0,163.7636618461326,0,0
21.0,163.19642857142858,,21.0,21.0,163.77538322303303,0,0
21.0,163.20238095238096,,21.0,21.0,163.78710459993343,0,0
21.0,163.20833333333334,,21.0,21.0,163.79882597683383,0,0
21.0,163.21428571428572,,21.0,21.0,163.81054735373422,0,0
21.0,163.2202380952381,,21.0,21.0,163.82226873063462,0,0
21.0,163.22619047619048,,21.0,21.0,163.83399010753504,0,0
21.0,163.23214285714286,,21.0,21.0,163.84571148443544,0,0
21.0,163.23809523809524,,21.0,21.0,163.85743286133584,0,0
21.0,163.24404761904762,,21.0,21.0,163.86915423823623,0,0
21.0,163.25,163.25,21.0,21.0,163.88087561513663,0,0
21.0,164.0,164.0,21.0,21.0,163.89259699203706,0,0
21.0,164.0,164.0,21.0,21.0,163.90431836893745,0,0
21.0,166.25,166.25,21.0,21.0,163.91603974583785,0,0
21.0,165.75,165.75,21.0,21.0,163.92776112273825,0,0
21.0,165.75,165.75,21.0,21.0,163.93948249963867,0,0
21.0,166.0,166.0,21.0,21.0,163.95120387653907,0,0
21.0,166.5,166.5,21.0,21.0,163.96292525343947,0,0
21.0,166.5,166.5,21.0,21.0,163.97464663033986,0,0
21.0,165.75,165.75,21.0,21.0,163.98636800724026,0,0
21.0,165.75,165.75,21.0,21.0,163.99808938414068,0,0
21.0,165.75,165.75,21.0,21.0,164.00981076104108,0,0
21.0,165.75,165.75,21.0,21.0,164.02153213794148,0,0
21.0,169.25,169.25,21.0,21.0,164.03325351484187,0,0
21.0,169.25,169.25,21.0,21.0,164.04497489174227,0,0
21.0,169.25,169.25,21.0,21.0,164.0566962686427,0,0
20.5,169.5,169.5,20.5,20.5,164.0684176455431,0,0
21.0,169.5,169.5,21.0,21.0,164.0801390224435,0,0
21.0,170.75,170.75,21.0,21.0,164.0918603993439,0,0
20.5,170.75,170.75,20.5,20.5,164.1035817762443,0,0
21.0,170.75,170.75,21.0,21.0,164.1153031531447,0,0
20.5,170.75,170.75,20.5,20.5,164.1270245300451,0,0
20.0,170.75,170.75,20.0,20.0,164.1387459069455,0,0
20.0,172.25,172.25,20.0,20.0,164.1504672838459,0,0
20.0,172.5,172.5,20.0,20.0,164.16218866074632,0,0
20.0,172.5,172.5,20.0,20.0,164.17391003764672,0,0
20.0,172.5,172.5,20.0,20.0,164.18563141454712,0,0
18.5,172.25,172.25,18.5,18.5,164.1973527914475,0,0
28.5,172.25,172.25,28.5,28.5,164.2090741683479,0,0
31.0,178.0,178.0,31.0,31.0,164.22079554524834,0,0
19.0,174.75,174.75,19.0,19.0,164.23251692214873,0,0
28.0,174.75,174.75,28.0,28.0,164.24423829904913,0,0
44.5,172.5,172.5,44.5,44.5,164.25595967594953,0,0
49.5,171.0,171.0,49.5,49.5,164.26768105284995,0,0
50.0,171.0,171.0,50.0,50.0,164.27940242975035,0,0
50.0,170.0,170.0,50.0,50.0,164.29112380665075,0,0
51.0,170.0,170.0,51.0,51.0,164.30284518355114,0,0
47.0,167.75,167.75,47.0,47.0,164.31456656045154,0,0
40.5,161.75,161.75,40.5,40.5,164.32628793735196,0,0
42.0,161.75,161.75,42.0,42.0,164.33800931425236,0,0
42.5,165.5,165.5,42.5,42.5,164.34973069115276,0,0
42.5,160.75,160.75,42.5,42.5,164.36145206805315,0,0
41.5,160.75,160.75,41.5,41.5,164.37317344495358,0,0
40.0,161.25,161.25,40.0,40.0,164.38489482185398,0,0
37.0,159.5,159.5,37.0,37.0,164.39661619875437,0,0
34.5,159.5,159.5,34.5,34.5,164.40833757565477,0,0
32.5,159.5,159.5,32.5,32.5,164.42005895255517,0,0
31.0,160.25,160.25,31.0,31.0,164.4317803294556,0,0
30.0,160.25,160.25,30.0,30.0,164.443501706356,0,0
29.0,160.25,160.25,29.0,29.0,164.45522308325639,0,0
